Task,Start,Finish,Job,Description
Machine 0,0,53,Job 3,3/0
Machine 0,53,105,Job 17,17/0
Machine 0,129,193,Job 8,8/1
Machine 0,251,292,Job 6,6/3
Machine 0,306,372,Job 10,10/4
Machine 0,381,440,Job 9,9/5
Machine 0,440,513,Job 11,11/4
Machine 0,513,610,Job 1,1/2
Machine 0,634,652,Job 14,14/3
Machine 0,652,689,Job 12,12/5
Machine 0,718,788,Job 19,19/4
Machine 0,788,872,Job 7,7/5
Machine 0,872,920,Job 4,4/6
Machine 0,920,948,Job 2,2/4
Machine 0,948,1035,Job 0,0/3
Machine 0,1035,1097,Job 5,5/8
Machine 0,1165,1260,Job 13,13/9
Machine 0,1356,1414,Job 16,16/9
Machine 0,1419,1442,Job 18,18/9
Machine 0,1442,1458,Job 15,15/9
Machine 1,0,40,Job 13,13/0
Machine 1,40,118,Job 7,7/0
Machine 1,118,129,Job 8,8/0
Machine 1,129,227,Job 11,11/2
Machine 1,231,296,Job 9,9/3
Machine 1,296,337,Job 16,16/1
Machine 1,337,410,Job 6,6/4
Machine 1,410,443,Job 14,14/1
Machine 1,443,480,Job 3,3/3
Machine 1,480,565,Job 12,12/4
Machine 1,675,699,Job 2,2/2
Machine 1,699,765,Job 5,5/5
Machine 1,768,858,Job 10,10/8
Machine 1,1035,1107,Job 0,0/4
Machine 1,1107,1168,Job 15,15/7
Machine 1,1168,1254,Job 19,19/9
Machine 1,1262,1297,Job 17,17/9
Machine 1,1398,1419,Job 18,18/8
Machine 1,1430,1476,Job 1,1/9
Machine 1,1476,1516,Job 4,4/9
Machine 2,0,61,Job 10,10/0
Machine 2,61,73,Job 3,3/1
Machine 2,93,188,Job 9,9/1
Machine 2,188,241,Job 13,13/1
Machine 2,241,317,Job 18,18/1
Machine 2,317,401,Job 5,5/2
Machine 2,401,450,Job 4,4/1
Machine 2,478,495,Job 8,8/4
Machine 2,495,548,Job 6,6/6
Machine 2,548,602,Job 15,15/3
Machine 2,602,675,Job 2,2/1
Machine 2,675,730,Job 14,14/4
Machine 2,754,822,Job 11,11/6
Machine 2,822,900,Job 16,16/4
Machine 2,900,945,Job 19,19/5
Machine 2,945,966,Job 1,1/4
Machine 2,966,983,Job 12,12/7
Machine 2,1234,1262,Job 17,17/8
Machine 2,1327,1393,Job 0,0/9
Machine 2,1393,1434,Job 7,7/9
Machine 3,0,93,Job 9,9/0
Machine 3,93,178,Job 5,5/0
Machine 3,178,219,Job 10,10/1
Machine 3,219,279,Job 0,0/0
Machine 3,317,403,Job 18,18/2
Machine 3,403,444,Job 12,12/3
Machine 3,463,547,Job 7,7/4
Machine 3,547,634,Job 14,14/2
Machine 3,634,681,Job 17,17/4
Machine 3,681,754,Job 11,11/5
Machine 3,754,825,Job 3,3/5
Machine 3,825,905,Job 6,6/7
Machine 3,905,921,Job 13,13/6
Machine 3,921,997,Job 16,16/5
Machine 3,997,1022,Job 2,2/5
Machine 3,1022,1032,Job 8,8/7
Machine 3,1032,1052,Job 1,1/5
Machine 3,1052,1085,Job 15,15/6
Machine 3,1085,1152,Job 19,19/8
Machine 3,1152,1235,Job 4,4/7
Machine 4,0,13,Job 11,11/0
Machine 4,13,103,Job 4,4/0
Machine 4,103,148,Job 2,2/0
Machine 4,162,176,Job 12,12/2
Machine 4,178,203,Job 5,5/1
Machine 4,203,211,Job 19,19/1
Machine 4,237,251,Job 6,6/2
Machine 4,283,306,Job 10,10/3
Machine 4,306,354,Job 0,0/1
Machine 4,354,417,Job 7,7/2
Machine 4,417,445,Job 16,16/2
Machine 4,495,580,Job 8,8/5
Machine 4,599,683,Job 13,13/5
Machine 4,683,752,Job 15,15/4
Machine 4,752,836,Job 18,18/4
Machine 4,836,913,Job 14,14/6
Machine 4,968,1059,Job 17,17/6
Machine 4,1059,1118,Job 1,1/6
Machine 4,1118,1178,Job 9,9/9
Machine 4,1360,1398,Job 3,3/9
Machine 5,0,82,Job 18,18/0
Machine 5,82,170,Job 6,6/0
Machine 5,170,234,Job 7,7/1
Machine 5,234,283,Job 10,10/2
Machine 5,283,325,Job 17,17/1
Machine 5,325,416,Job 15,15/1
Machine 5,416,503,Job 13,13/3
Machine 5,503,567,Job 16,16/3
Machine 5,567,662,Job 0,0/2
Machine 5,662,735,Job 8,8/6
Machine 5,735,781,Job 9,9/7
Machine 5,781,788,Job 4,4/4
Machine 5,788,843,Job 1,1/3
Machine 5,843,883,Job 11,11/7
Machine 5,883,912,Job 3,3/7
Machine 5,990,1018,Job 19,19/7
Machine 5,1022,1045,Job 2,2/6
Machine 5,1045,1119,Job 14,14/9
Machine 5,1119,1138,Job 5,5/9
Machine 5,1182,1261,Job 12,12/9
Machine 6,0,82,Job 16,16/0
Machine 6,86,162,Job 12,12/1
Machine 6,170,237,Job 6,6/1
Machine 6,237,334,Job 8,8/2
Machine 6,334,367,Job 14,14/0
Machine 6,367,401,Job 1,1/1
Machine 6,417,463,Job 7,7/3
Machine 6,463,548,Job 9,9/6
Machine 6,548,612,Job 5,5/3
Machine 6,612,654,Job 19,19/2
Machine 6,654,747,Job 18,18/3
Machine 6,788,811,Job 4,4/5
Machine 6,825,880,Job 3,3/6
Machine 6,880,968,Job 17,17/5
Machine 6,968,1047,Job 15,15/5
Machine 6,1047,1113,Job 13,13/7
Machine 6,1113,1130,Job 10,10/9
Machine 6,1273,1327,Job 0,0/8
Machine 6,1327,1336,Job 11,11/9
Machine 6,1361,1439,Job 2,2/9
Machine 7,0,92,Job 15,15/0
Machine 7,92,99,Job 11,11/1
Machine 7,99,136,Job 1,1/0
Machine 7,188,231,Job 9,9/2
Machine 7,241,338,Job 13,13/2
Machine 7,372,421,Job 10,10/5
Machine 7,421,478,Job 6,6/5
Machine 7,505,570,Job 4,4/3
Machine 7,654,718,Job 19,19/3
Machine 7,765,811,Job 5,5/6
Machine 7,836,874,Job 18,18/5
Machine 7,913,973,Job 14,14/7
Machine 7,997,1003,Job 16,16/6
Machine 7,1045,1128,Job 2,2/7
Machine 7,1128,1182,Job 12,12/8
Machine 7,1182,1234,Job 17,17/7
Machine 7,1234,1273,Job 0,0/7
Machine 7,1273,1360,Job 3,3/8
Machine 7,1360,1386,Job 7,7/8
Machine 7,1386,1453,Job 8,8/9
Machine 8,227,284,Job 11,11/3
Machine 8,325,349,Job 17,17/2
Machine 8,349,381,Job 9,9/4
Machine 8,416,495,Job 15,15/2
Machine 8,503,599,Job 13,13/4
Machine 8,599,669,Job 10,10/6
Machine 8,669,702,Job 3,3/4
Machine 8,702,730,Job 2,2/3
Machine 8,730,743,Job 14,14/5
Machine 8,743,762,Job 12,12/6
Machine 8,811,870,Job 5,5/7
Machine 8,872,900,Job 7,7/6
Machine 8,945,990,Job 19,19/6
Machine 8,1003,1052,Job 16,16/7
Machine 8,1112,1147,Job 0,0/6
Machine 8,1147,1242,Job 8,8/8
Machine 8,1242,1337,Job 18,18/6
Machine 8,1337,1411,Job 6,6/9
Machine 8,1411,1430,Job 1,1/8
Machine 8,1430,1447,Job 4,4/8
Machine 9,0,86,Job 12,12/0
Machine 9,86,163,Job 19,19/0
Machine 9,163,175,Job 3,3/2
Machine 9,349,440,Job 17,17/3
Machine 9,440,478,Job 8,8/3
Machine 9,478,505,Job 4,4/2
Machine 9,612,625,Job 5,5/4
Machine 9,669,768,Job 10,10/7
Machine 9,781,866,Job 9,9/8
Machine 9,905,952,Job 6,6/8
Machine 9,973,1015,Job 14,14/8
Machine 9,1015,1067,Job 7,7/7
Machine 9,1107,1112,Job 0,0/5
Machine 9,1113,1165,Job 13,13/8
Machine 9,1165,1211,Job 1,1/7
Machine 9,1211,1309,Job 11,11/8
Machine 9,1309,1356,Job 16,16/8
Machine 9,1356,1361,Job 2,2/8
Machine 9,1361,1398,Job 18,18/7
Machine 9,1398,1437,Job 15,15/8
