Task,Start,Finish,Job,Description
Machine 0,0,52,Job 17,J170
Machine 0,52,105,Job 3,J30
Machine 0,129,193,Job 8,J81
Machine 0,193,290,Job 1,J12
Machine 0,300,328,Job 2,J24
Machine 0,328,369,Job 6,J63
Machine 0,435,501,Job 10,J104
Machine 0,501,571,Job 19,J194
Machine 0,602,686,Job 7,J75
Machine 0,686,773,Job 0,J03
Machine 0,773,791,Job 14,J143
Machine 0,791,828,Job 12,J125
Machine 0,828,887,Job 9,J95
Machine 0,887,960,Job 11,J114
Machine 0,987,1049,Job 5,J58
Machine 0,1049,1072,Job 18,J189
Machine 0,1072,1120,Job 4,J46
Machine 0,1120,1215,Job 13,J139
Machine 0,1215,1273,Job 16,J169
Machine 0,1273,1289,Job 15,J159
Machine 1,0,40,Job 13,J130
Machine 1,40,118,Job 7,J70
Machine 1,118,129,Job 8,J80
Machine 1,129,170,Job 16,J161
Machine 1,211,248,Job 3,J33
Machine 1,248,272,Job 2,J22
Machine 1,298,331,Job 14,J141
Machine 1,331,429,Job 11,J112
Machine 1,429,502,Job 6,J64
Machine 1,502,587,Job 12,J124
Machine 1,587,652,Job 9,J93
Machine 1,653,719,Job 5,J55
Machine 1,773,845,Job 0,J04
Machine 1,845,935,Job 10,J108
Machine 1,945,1006,Job 15,J157
Machine 1,1006,1027,Job 18,J188
Machine 1,1110,1196,Job 19,J199
Machine 1,1196,1242,Job 1,J19
Machine 1,1242,1282,Job 4,J49
Machine 1,1282,1317,Job 17,J179
Machine 2,0,61,Job 10,J100
Machine 2,61,114,Job 13,J131
Machine 2,114,187,Job 2,J21
Machine 2,187,199,Job 3,J31
Machine 2,212,288,Job 18,J181
Machine 2,288,337,Job 4,J41
Machine 2,337,432,Job 9,J91
Machine 2,432,516,Job 5,J52
Machine 2,558,579,Job 1,J14
Machine 2,582,636,Job 15,J153
Machine 2,636,681,Job 19,J195
Machine 2,681,698,Job 8,J84
Machine 2,698,751,Job 6,J66
Machine 2,751,829,Job 16,J164
Machine 2,829,884,Job 14,J144
Machine 2,928,945,Job 12,J127
Machine 2,1033,1101,Job 11,J116
Machine 2,1177,1243,Job 0,J09
Machine 2,1243,1271,Job 17,J178
Machine 2,1271,1312,Job 7,J79
Machine 3,0,93,Job 9,J90
Machine 3,93,134,Job 10,J101
Machine 3,134,219,Job 5,J50
Machine 3,219,279,Job 0,J00
Machine 3,279,320,Job 12,J123
Machine 3,320,406,Job 18,J182
Machine 3,406,493,Job 14,J142
Machine 3,493,518,Job 2,J25
Machine 3,518,602,Job 7,J74
Machine 3,602,618,Job 13,J136
Machine 3,618,689,Job 3,J35
Machine 3,689,709,Job 1,J15
Machine 3,709,756,Job 17,J174
Machine 3,756,836,Job 6,J67
Machine 3,836,912,Job 16,J165
Machine 3,912,945,Job 15,J156
Machine 3,960,1033,Job 11,J115
Machine 3,1033,1043,Job 8,J87
Machine 3,1043,1110,Job 19,J198
Machine 3,1120,1203,Job 4,J47
Machine 4,0,13,Job 11,J110
Machine 4,13,58,Job 2,J20
Machine 4,58,148,Job 4,J40
Machine 4,155,169,Job 6,J62
Machine 4,169,177,Job 19,J191
Machine 4,265,279,Job 12,J122
Machine 4,279,307,Job 16,J162
Machine 4,307,332,Job 5,J51
Machine 4,332,395,Job 7,J72
Machine 4,412,435,Job 10,J103
Machine 4,435,483,Job 0,J01
Machine 4,483,567,Job 13,J135
Machine 4,576,660,Job 18,J184
Machine 4,660,729,Job 15,J154
Machine 4,729,788,Job 1,J16
Machine 4,788,873,Job 8,J85
Machine 4,928,1019,Job 17,J176
Machine 4,1019,1096,Job 14,J146
Machine 4,1096,1134,Job 3,J39
Machine 4,1181,1241,Job 9,J99
Machine 5,0,88,Job 6,J60
Machine 5,88,130,Job 17,J171
Machine 5,130,212,Job 18,J180
Machine 5,212,276,Job 7,J71
Machine 5,276,363,Job 13,J133
Machine 5,363,412,Job 10,J102
Machine 5,412,503,Job 15,J151
Machine 5,503,558,Job 1,J13
Machine 5,558,653,Job 0,J02
Machine 5,653,660,Job 4,J44
Machine 5,660,724,Job 16,J163
Machine 5,761,790,Job 3,J37
Machine 5,790,813,Job 2,J26
Machine 5,909,937,Job 19,J197
Machine 5,937,1010,Job 8,J86
Machine 5,1036,1082,Job 9,J97
Machine 5,1082,1161,Job 12,J129
Machine 5,1161,1201,Job 11,J117
Machine 5,1201,1220,Job 5,J59
Machine 5,1225,1299,Job 14,J149
Machine 6,0,82,Job 16,J160
Machine 6,88,155,Job 6,J61
Machine 6,155,189,Job 1,J11
Machine 6,189,265,Job 12,J121
Machine 6,265,298,Job 14,J140
Machine 6,298,340,Job 19,J192
Machine 6,340,437,Job 8,J82
Machine 6,437,483,Job 7,J73
Machine 6,483,576,Job 18,J183
Machine 6,576,640,Job 5,J53
Machine 6,640,706,Job 13,J137
Machine 6,706,761,Job 3,J36
Machine 6,761,840,Job 15,J155
Machine 6,840,928,Job 17,J175
Machine 6,928,951,Job 4,J45
Machine 6,951,1036,Job 9,J96
Machine 6,1036,1053,Job 10,J109
Machine 6,1123,1177,Job 0,J08
Machine 6,1177,1255,Job 2,J29
Machine 6,1323,1332,Job 11,J119
Machine 7,0,37,Job 1,J10
Machine 7,37,129,Job 15,J150
Machine 7,129,136,Job 11,J111
Machine 7,136,233,Job 13,J132
Machine 7,340,404,Job 19,J193
Machine 7,432,475,Job 9,J92
Machine 7,501,550,Job 10,J105
Machine 7,550,615,Job 4,J43
Machine 7,615,672,Job 6,J65
Machine 7,672,710,Job 18,J185
Machine 7,719,765,Job 5,J56
Machine 7,790,877,Job 3,J38
Machine 7,877,960,Job 2,J27
Machine 7,960,966,Job 16,J166
Machine 7,966,1020,Job 12,J128
Machine 7,1084,1123,Job 0,J07
Machine 7,1123,1183,Job 14,J147
Machine 7,1183,1235,Job 17,J177
Machine 7,1235,1261,Job 7,J78
Machine 7,1261,1328,Job 8,J89
Machine 8,130,154,Job 17,J172
Machine 8,272,300,Job 2,J23
Machine 8,300,333,Job 3,J34
Machine 8,363,459,Job 13,J134
Machine 8,503,582,Job 15,J152
Machine 8,582,652,Job 10,J106
Machine 8,652,709,Job 11,J113
Machine 8,709,737,Job 7,J76
Machine 8,737,769,Job 9,J94
Machine 8,769,864,Job 18,J186
Machine 8,864,909,Job 19,J196
Machine 8,909,928,Job 12,J126
Machine 8,928,987,Job 5,J57
Machine 8,987,1000,Job 14,J145
Machine 8,1000,1049,Job 16,J167
Machine 8,1049,1084,Job 0,J06
Machine 8,1084,1103,Job 1,J18
Machine 8,1103,1198,Job 8,J88
Machine 8,1203,1220,Job 4,J48
Machine 8,1220,1294,Job 6,J69
Machine 9,0,86,Job 12,J120
Machine 9,86,163,Job 19,J190
Machine 9,199,211,Job 3,J32
Machine 9,211,302,Job 17,J173
Machine 9,337,364,Job 4,J42
Machine 9,437,475,Job 8,J83
Machine 9,640,653,Job 5,J54
Machine 9,653,752,Job 10,J107
Machine 9,752,804,Job 7,J77
Machine 9,804,856,Job 13,J138
Machine 9,856,861,Job 0,J05
Machine 9,861,908,Job 6,J68
Machine 9,908,945,Job 18,J187
Machine 9,945,991,Job 1,J17
Machine 9,991,996,Job 2,J28
Machine 9,1006,1045,Job 15,J158
Machine 9,1049,1096,Job 16,J168
Machine 9,1096,1181,Job 9,J98
Machine 9,1183,1225,Job 14,J148
Machine 9,1225,1323,Job 11,J118
