Task,Start,Finish,Job,Description
Machine 0,0,30,Job 9,J90
Machine 0,469,525,Job 8,J85
Machine 0,525,577,Job 4,J45
Machine 0,577,646,Job 2,J25
Machine 0,646,689,Job 6,J65
Machine 0,689,716,Job 7,J76
Machine 0,783,860,Job 3,J38
Machine 0,860,953,Job 0,J07
Machine 0,953,1031,Job 1,J18
Machine 0,1031,1111,Job 5,J58
Machine 1,0,45,Job 2,J20
Machine 1,462,539,Job 9,J94
Machine 1,539,632,Job 1,J14
Machine 1,632,718,Job 5,J55
Machine 1,718,748,Job 4,J46
Machine 1,748,783,Job 3,J37
Machine 1,783,878,Job 8,J87
Machine 1,878,959,Job 7,J77
Machine 1,977,1043,Job 0,J09
Machine 1,1043,1112,Job 6,J69
Machine 2,128,225,Job 1,J11
Machine 2,225,278,Job 6,J61
Machine 2,283,378,Job 5,J53
Machine 2,378,404,Job 2,J23
Machine 2,404,462,Job 9,J93
Machine 2,592,648,Job 3,J36
Machine 2,648,682,Job 7,J75
Machine 2,682,764,Job 0,J06
Machine 2,900,986,Job 4,J49
Machine 2,986,1064,Job 8,J89
Machine 3,0,87,Job 5,J50
Machine 3,87,137,Job 9,J91
Machine 3,205,268,Job 4,J43
Machine 3,397,481,Job 0,J03
Machine 3,481,517,Job 3,J34
Machine 3,525,607,Job 8,J86
Machine 3,717,797,Job 1,J17
Machine 3,797,830,Job 2,J27
Machine 3,830,888,Job 6,J68
Machine 3,989,1035,Job 7,J79
Machine 4,0,85,Job 3,J30
Machine 4,85,105,Job 7,J70
Machine 4,268,349,Job 4,J44
Machine 4,378,443,Job 5,J54
Machine 4,481,528,Job 0,J04
Machine 4,632,661,Job 1,J15
Machine 4,661,701,Job 9,J97
Machine 4,701,727,Job 6,J66
Machine 4,727,767,Job 2,J26
Machine 4,878,925,Job 8,J88
Machine 5,0,81,Job 6,J60
Machine 5,81,128,Job 1,J10
Machine 5,134,232,Job 8,J82
Machine 5,232,283,Job 5,J52
Machine 5,283,351,Job 3,J32
Machine 5,351,372,Job 7,J72
Machine 5,372,397,Job 0,J02
Machine 5,539,573,Job 9,J95
Machine 5,748,846,Job 4,J47
Machine 5,914,1010,Job 2,J29
Machine 6,68,134,Job 8,J81
Machine 6,134,220,Job 7,J71
Machine 6,220,242,Job 2,J22
Machine 6,335,406,Job 6,J63
Machine 6,517,592,Job 3,J35
Machine 6,592,630,Job 0,J05
Machine 6,718,740,Job 5,J56
Machine 6,846,900,Job 4,J48
Machine 6,1031,1098,Job 1,J19
Machine 6,1098,1142,Job 9,J99
Machine 7,0,62,Job 0,J00
Machine 7,62,108,Job 2,J21
Machine 7,180,205,Job 4,J42
Machine 7,278,335,Job 6,J62
Machine 7,335,369,Job 9,J92
Machine 7,403,469,Job 8,J84
Machine 7,661,717,Job 1,J16
Machine 7,959,989,Job 7,J78
Machine 7,989,1074,Job 3,J39
Machine 7,1111,1176,Job 5,J59
Machine 8,0,60,Job 4,J40
Machine 8,85,161,Job 3,J31
Machine 8,161,185,Job 0,J01
Machine 8,225,317,Job 1,J12
Machine 8,317,403,Job 8,J83
Machine 8,403,482,Job 7,J73
Machine 8,573,657,Job 9,J96
Machine 8,727,781,Job 6,J67
Machine 8,781,839,Job 5,J57
Machine 8,839,914,Job 2,J28
Machine 9,0,68,Job 8,J80
Machine 9,87,160,Job 5,J51
Machine 9,160,180,Job 4,J41
Machine 9,351,439,Job 3,J33
Machine 9,439,477,Job 2,J24
Machine 9,477,499,Job 1,J13
Machine 9,499,561,Job 7,J74
Machine 9,561,642,Job 6,J64
Machine 9,701,747,Job 9,J98
Machine 9,953,977,Job 0,J08
